provincia,pantallas,butacas,espacio incaa
Buenos Aires,358,93112,20
Catamarca,12,3200,1
Chaco,14,2469,1
Chubut,10,2682,4
Ciudad Autónoma de Buenos Aires,153,31386,3
Corrientes,17,3370,1
Córdoba,105,20799,2
Entre Ríos,17,4086,2
Formosa,4,1184,1
Jujuy,5,2277,2
La Pampa,6,2071,2
La Rioja,10,1477,1
Mendoza,47,11116,2
Misiones,10,2177,2
Neuquén,12,3959,3
Río Negro,10,2474,4
Salta,23,4665,2
San Juan,22,4617,2
San Luis,12,2601,0
Santa Cruz,7,1256,2
Santa Fe,79,20131,3
Santiago del Estero,11,2928,1
Tierra del Fuego,6,1445,0
Tucumán,24,5161,2
